trip_id,start_time,end_time,headway_secs,exact_times
0,05:00:00,23:00:00,240,1
1,05:00:00,23:00:00,300,1
2,05:00:00,22:00:00,300,1
3,06:00:00,19:30:00,300,1
4,04:40:00,18:40:00,540,1
5,04:50:00,18:40:00,600,1
6,05:45:00,19:00:00,240,1
7,05:00:00,18:00:00,300,1
8,05:00:00,22:30:00,240,1
9,04:40:00,18:45:00,540,1
10,05:00:00,23:00:00,300,1
11,05:00:00,23:00:00,300,1
12,05:45:00,19:00:00,240,1
13,05:00:00,23:00:00,240,1
14,05:20:00,21:00:00,240,1
15,06:30:00,19:00:00,180,1
16,05:00:00,19:00:00,180,1
17,04:30:00,18:00:00,300,1
18,05:00:00,22:00:00,120,1
19,05:00:00,22:00:00,600,1
20,05:00:00,23:00:00,240,1
21,05:00:00,19:00:00,600,1
22,05:00:00,18:00:00,600,1
23,05:00:00,19:00:00,480,1
24,05:00:00,19:30:00,600,1
25,05:00:00,19:00:00,480,1
26,05:50:00,17:30:00,600,1
27,05:50:00,19:30:00,600,1
28,05:00:00,23:00:00,300,1
29,05:30:00,20:30:00,360,1
30,05:30:00,23:30:00,480,1
31,05:00:00,23:00:00,240,1
32,06:00:00,22:00:00,180,1
33,05:00:00,22:00:00,180,1
34,05:00:00,22:30:00,480,1
35,05:00:00,22:00:00,120,1
36,05:00:00,21:00:00,300,1
37,05:00:00,23:00:00,240,1
38,04:00:00,22:30:00,300,1
39,05:00:00,23:00:00,240,1
40,00:00:00,23:59:00,300,1
41,00:00:00,23:59:00,300,1
42,00:00:00,23:59:00,300,1
43,00:00:00,23:59:00,300,1
44,05:00:00,21:00:00,300,1
45,00:00:00,23:59:00,300,1
46,00:00:00,23:59:00,300,1
47,05:00:00,22:00:00,300,1
48,04:00:00,23:30:00,300,1
49,04:30:00,22:00:00,360,1
50,04:30:00,22:00:00,360,1
51,04:30:00,23:00:00,360,1
52,04:30:00,22:00:00,360,1
53,05:00:00,19:00:00,540,1
54,05:00:00,19:00:00,540,1
55,05:00:00,19:00:00,480,1
56,06:00:00,20:00:00,480,1
57,05:00:00,20:00:00,480,1
58,06:00:00,20:00:00,480,1
59,05:20:00,20:30:00,600,1
60,05:20:00,20:30:00,600,1
61,05:00:00,22:30:00,480,1
62,05:00:00,23:00:00,600,1
63,05:00:00,22:00:00,360,1
64,05:00:00,22:00:00,360,1
65,05:00:00,22:00:00,360,1
66,06:00:00,19:00:00,600,1
67,05:00:00,19:00:00,300,1
68,00:00:00,23:59:00,300,1
69,05:40:00,21:00:00,900,1
70,05:40:00,21:00:00,600,1
71,08:00:00,21:00:00,1800,1
72,00:00:00,23:59:00,120,1
73,06:00:00,20:00:00,300,1
74,05:00:00,21:00:00,480,1
75,07:00:00,19:00:00,300,1
76,05:00:00,19:00:00,300,1
77,05:00:00,19:00:00,300,1
78,05:00:00,19:00:00,300,1
79,05:30:00,22:00:00,360,1
80,00:00:00,23:59:00,300,1
81,05:00:00,22:00:00,360,1
82,05:00:00,22:00:00,360,1
83,06:00:00,20:00:00,600,1
84,05:00:00,19:00:00,300,1
85,06:00:00,19:00:00,600,1
86,06:00:00,19:00:00,300,1
87,06:00:00,19:00:00,300,1
88,05:00:00,19:00:00,600,1
89,06:00:00,19:30:00,240,1
90,05:00:00,23:00:00,180,1
91,05:00:00,23:00:00,480,1
92,05:30:00,22:00:00,360,1
93,05:30:00,22:00:00,360,1
94,05:00:00,19:00:00,300,1
95,00:00:00,23:59:00,300,1
96,00:00:00,23:59:00,300,1
97,00:00:00,23:59:00,300,1
98,00:00:00,23:59:00,300,1
99,00:00:00,23:59:00,300,1
100,05:00:00,19:00:00,600,1
